,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Algorithm,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering
Processing Method,No Data Processing,No Data Processing,No Data Processing,Normalization,Normalization,Normalization,Transformation,Transformation,Transformation,PCA,PCA,PCA,T+N,T+N,T+N,T+N+PCA,T+N+PCA,T+N+PCA
Subcluster Size,2,3,4,2,3,4,2,3,4,2,3,4,2,3,4,2,3,4
Silhouette Score,0.3942231677718656,0.23942642008001247,0.24541473289756316,0.19404178528095797,0.18427322199092733,0.17113476771370412,0.13171533189500462,0.15178119024943623,0.10447555773556846,0.4503250954777873,0.24859508223547935,0.23399072301026622,0.19404178528095797,0.18427322199092733,0.17113476771370412,0.4353700237719788,0.32760924733718605,0.3170506474447901
Calinski-Harabasz Score,192.03042138406826,168.9844784387435,150.3729008871331,73.31750963345709,60.06908728937934,55.477945070445195,41.59643919674507,38.243874110980435,34.768209331145435,274.965105410133,174.45652703234447,146.68446841354697,73.31750963345709,60.06908728937934,55.477945070445195,274.5624125019631,143.32825858864902,104.98945641145401
Davies-Bouldin Score,0.8872775857291174,1.294714659375318,1.1451549978766427,1.9411051315494139,1.964284048020118,1.8815412983758397,2.602753047230441,2.1017186308244793,2.1748353277579637,0.812528200601271,1.2556573255102699,1.1802928092661462,1.9411051315494139,1.964284048020118,1.8815412983758397,0.9964824049065062,1.222964608406154,1.1460570581215956
